artist_name,artist_ID
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3
MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY
Jimin,1oSPZhvZMIrWW5I41kPkkY
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ
Kimbra,6hk7Yq1DU9QcCCrz9uc0Ti
Shaggy,5EvFsr3kj42KNv97ZEnqij
Jonas Blue,1HBjj22wzbscIZ9sEb5dyf
Ruth B.,2WzaAvm2bBCf4pEhyuDgCY
TINI,7vXDAI8JwjW531ouMGbfcp
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX
Sunidhi Chauhan,3eDT9fwXKuHWFvgZaaYC5v
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD
Dean Lewis,3QSQFmccmX81fWCUSPTS7y
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m
Luis Miguel,2nszmSgqreHSdJA3zWPyrW
Hanumankind,4nVa6XlBFlIkF6msW57PHp
R.E.M.,4KWTAlx2RvbpseOGMEmROg
The White Stripes,4F84IBURUo98rz4r61KF70
John Mayer,0hEurMDQu99nJRq8pTxO14
MGMT,0SwO7SWeDHJijQ3XNS7xEE
Tinashe,0NIIxcxNHmOoyBx03SfTCD
Xavi,3Me35AWHCGqW4sZ7bWWJt1
The Cure,7bu3H8JO7d0UbMoVzbo70s
Prince Royce,3MHaV05u0io8fQbZ2XPtlC
Topic,0u6GtibW46tFX7koQ6uNJZ
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy
Michael Marcagi,4j96cMcT8GRi11qbvo1cLQ
Eslabon Armado,0XeEobZplHxzM9QzFQWLiR
Beéle,7a0XAaPaK2aDSqa8p3QnC7
Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE
B.o.B,5ndkK3dpZLKtBklKjxNQwT
Bob Sinclar,5YFS41yoX0YuFY39fq21oN
Fred again..,4oLeXFyACqeem2VImYeBFe
Lauv,5JZ7CnR6gTvEMKX4g70Amv
Chino Pacas,2rmkQLzj0k4nZdQehOUByO
Neton Vega,6pV5zH2LzjOUHaAvENdMMa
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t
PARTYNEXTDOOR,2HPaUgqeutzr3jx5a9WyDV
Vishal Dadlani,6CXEwIaXYfVJ84biCxqc9k
Becky Hill,4EPJlUEBy49EX1wuFOvtjK
Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0
